time,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68
0.033,262.3221,73.202385,262.25674,77.74187,262.4593,82.17476,262.97394,86.876114,263.98724,91.41236,265.96167,95.58708,268.88083,98.953926,272.24728,101.817276,276.05753,102.372406,280.24323,101.864655,284.71725,99.59022,289.31543,96.95127,293.0353,93.385,295.3551,88.9284,296.9383,84.04327,298.2554,78.96798,299.4906,73.72264,264.05862,72.570114,266.28226,70.90378,269.2187,70.54464,272.46896,71.03184,275.47473,72.29439,281.33588,72.008644,284.79672,70.526985,288.4851,70.02695,292.23148,70.34633,295.01068,72.434135,277.50134,75.39371,277.06668,78.55538,276.6288,81.70935,276.1796,85.03057,272.88882,86.48433,274.61646,87.21883,276.46408,87.75652,278.73267,87.2414,280.83762,86.45337,267.50702,75.81205,269.4523,74.71012,271.80002,74.54501,273.88446,75.79126,271.77335,76.46329,269.4058,76.638626,283.11514,75.46871,285.45428,74.11751,287.87756,74.203964,289.98236,75.15323,287.91104,76.08136,285.523,76.06013,270.67157,91.724594,272.8871,91.14627,274.96857,90.79584,276.5024,91.22794,278.26614,90.84912,280.84964,91.13135,283.9684,91.50615,280.6864,93.05986,278.17712,93.65739,276.33707,93.87384,274.71973,93.84803,272.75037,93.41279,271.838,91.759476,274.86758,91.76854,276.48724,91.9386,278.29816,91.709915,282.76016,91.67608,278.24377,91.659966,276.43793,91.92596,274.84457,91.84928
0.066,259.5163,72.45974,259.68814,77.77933,260.06476,82.874,260.8559,87.964714,262.16232,92.83816,264.64572,97.55855,268.0917,101.24876,272.04156,103.950195,276.40906,104.40438,280.83438,103.37879,285.3826,100.79746,290.04462,97.57933,293.83282,93.55471,296.43753,88.714516,298.21124,83.483475,299.5618,78.08204,300.7765,72.52323,262.47296,72.132774,264.83,70.32834,268.07675,69.43341,271.65298,69.74825,274.97586,71.0994,282.06497,70.494835,285.65634,69.075226,289.54694,68.61752,293.4059,69.05318,296.45834,71.06255,277.72534,74.719505,277.5116,78.03946,277.33728,81.24913,277.15344,84.649254,273.41962,87.30225,275.35867,87.87079,277.3089,88.201416,279.56195,87.57701,281.68698,86.73555,266.0403,75.608215,268.2535,74.48165,270.90424,74.232086,273.1907,75.47218,270.88916,76.187126,268.2944,76.39744,283.87088,74.75001,286.26538,73.43292,288.97363,73.478485,291.3274,74.33278,289.05954,75.29992,286.41016,75.290726,270.85492,94.01827,273.36755,92.80583,275.91824,91.87493,277.3622,92.189156,278.87512,91.566734,281.40527,91.86949,284.269,92.5649,281.26807,94.86086,278.83258,96.00066,277.18826,96.44411,275.6761,96.57602,273.21597,96.03797,272.1103,93.8872,275.863,93.09281,277.36417,93.047485,278.8992,92.666725,282.91452,92.72868,278.81033,93.61558,277.24786,94.06306,275.7513,94.1288
0.099,259.27884,72.773796,259.45673,78.2422,259.8729,83.4827,260.80917,88.7731,262.18817,93.651184,264.85022,98.014206,268.59943,101.326225,272.53186,103.855736,277.01547,104.15648,281.67093,103.25346,286.65594,100.6926,291.73996,97.92412,295.73532,94.372444,298.42834,89.68454,300.22873,84.28423,301.43896,78.688156,302.6719,72.82591,262.3461,71.63105,264.85526,69.73245,268.15344,68.78677,271.87784,69.01029,275.3209,70.41906,282.4953,69.73045,286.3157,68.325134,290.41766,67.87873,294.5309,68.25412,297.84238,70.30625,277.87573,74.23873,277.5453,77.49771,277.2266,80.67027,276.90454,83.998055,273.26846,86.98881,275.24847,87.601715,277.31284,87.88881,279.6316,87.215576,281.91245,86.332825,266.1657,75.1402,268.435,73.90898,271.1817,73.61223,273.45932,74.924324,271.11923,75.620384,268.45145,75.88987,284.3566,74.226555,286.72638,72.70549,289.49936,72.675865,291.98776,73.543175,289.61337,74.57069,286.91608,74.65196,271.24365,94.31483,273.58942,92.74917,275.9416,91.51642,277.5033,91.833115,279.14514,91.099365,281.67093,91.607704,284.82394,92.36231,281.75705,94.123314,279.45062,95.13199,277.68112,95.67197,276.06137,95.86773,273.62897,95.6426,272.5873,94.06328,275.9259,93.07517,277.56027,92.97181,279.22595,92.51981,283.4386,92.48498,279.3479,92.79866,277.63992,93.361046,276.0542,93.4549
0.132,183.5841,334.59033,186.32007,384.7154,194.5404,433.32455,204.31473,479.16382,221.57712,522.6628,247.28201,560.52277,279.49033,590.9124,316.3286,613.1116,358.4408,617.52515,400.73068,609.0448,434.7079,582.0729,466.81137,548.4264,490.44162,509.4456,506.0808,467.33768,514.4771,423.90756,519.8561,378.56567,519.7867,332.2651,201.62436,326.5866,223.64273,304.45456,256.91965,302.58276,289.201,309.72018,322.8093,319.92746,374.05075,321.27225,405.26755,308.56888,437.62912,300.84003,470.6425,302.33264,494.02307,321.24173,349.3183,346.18594,350.29025,375.67462,351.26062,404.55634,352.33063,434.86966,317.4538,457.68683,334.72885,461.04095,352.02838,465.1387,369.14218,460.82144,386.697,456.43674,241.13138,352.00427,259.15594,344.51056,281.27365,343.97742,302.79538,354.55472,280.61044,359.12494,258.69525,359.69342,395.16592,354.36465,414.71262,343.2917,437.4419,343.57214,456.85797,350.39743,438.37363,358.66446,416.04776,358.48495,286.72394,508.27792,311.00485,501.77054,337.427,494.9902,353.90173,499.10062,370.13925,494.30325,395.2473,499.8082,420.57712,504.11508,397.30182,532.052,373.03247,544.56036,354.72845,546.5863,336.84955,545.08575,311.25156,534.76483,297.69495,511.71014,337.20514,508.54565,354.08783,509.20755,370.92267,507.85574,410.23358,507.36505,371.89667,517.6013,354.71222,520.66925,337.26434,519.3598
0.165,185.29225,340.82013,187.48045,387.79007,195.61288,435.29858,206.49063,479.97144,223.48018,523.36926,248.47517,561.07294,280.18918,591.28656,316.6621,613.8132,359.12134,617.8071,401.0404,609.1041,435.17834,582.47833,467.14682,548.94037,491.20975,508.67368,506.70364,466.26077,515.00665,423.0427,521.0933,378.70358,520.99164,331.7968,202.04167,327.43707,224.01749,305.2798,257.49585,302.07776,290.00027,309.3532,323.39322,319.65518,373.1862,321.22934,404.41507,308.3661,437.039,300.2936,470.78897,302.90326,494.0103,322.53882,348.4119,345.7362,349.7485,374.6285,350.8755,403.48254,352.24942,433.26352,318.27707,457.41882,335.19095,460.1285,352.05966,463.3796,369.06247,459.61792,386.17886,455.53046,242.94873,352.75616,261.1398,344.6941,282.9508,344.23572,304.01154,355.0167,282.2101,359.3441,260.56424,360.17697,394.34653,354.45987,414.25323,343.80264,436.41483,343.6738,454.74786,350.78003,437.61905,358.59787,415.59933,358.39127,289.25256,507.64365,312.98172,501.05518,339.01886,494.0406,354.81976,497.60233,371.12366,492.90762,395.83304,498.51492,420.78775,503.9154,398.04474,532.6473,374.17798,544.9683,355.9577,547.06244,338.67346,545.9524,313.64142,535.49805,300.70142,510.9805,338.58774,505.6846,354.91153,506.0173,371.79285,504.43494,410.61353,506.5325,373.0828,519.3468,355.7623,522.03174,338.81293,520.6018
0.198,182.92006,343.71902,185.31761,391.83994,193.04683,439.99707,203.40155,484.83405,221.27878,527.6022,248.39474,564.9006,281.1197,593.9224,317.65863,616.7643,359.91653,620.6887,401.63855,611.48535,436.2915,582.22473,468.34628,548.1396,492.69662,508.70697,508.9515,466.88132,517.4549,424.93555,521.9646,380.49982,520.1643,335.52225,200.85579,327.70425,221.43764,304.36246,255.50845,300.8623,288.4605,307.8439,322.1156,318.68747,373.1606,321.717,403.746,308.27066,436.1854,300.61295,469.55597,301.91272,494.13733,320.47464,348.23083,345.93826,349.9738,374.981,351.31195,403.83618,352.72037,433.6652,318.43546,456.10437,335.04245,459.6566,351.9332,463.81305,369.46567,459.5793,387.0058,454.94086,242.25137,351.8577,259.82724,344.2873,282.01486,343.21585,303.86658,354.78894,281.75806,359.34583,259.72006,359.52414,393.53705,355.29355,413.9488,344.311,436.28015,344.0249,456.2164,350.88013,437.51913,359.4969,415.12274,359.53723,286.55258,506.95575,312.098,499.33044,338.31,492.4744,354.51453,496.0129,370.98074,491.80856,395.4454,498.00897,421.25244,504.681,397.2207,530.5552,373.2486,542.0722,354.9749,544.31683,336.88452,542.4461,312.30557,532.82983,298.04248,509.6273,338.16608,505.4532,355.0912,505.93558,372.1083,505.06723,410.283,506.85464,372.04388,517.3014,354.4925,519.7482,336.98532,518.115
0.231,183.26582,339.35233,186.78867,388.62564,196.19652,435.67892,206.56009,480.2985,223.48627,523.9285,249.1445,562.7952,280.56503,593.33057,317.06802,616.1556,359.3581,619.4404,401.51987,609.9864,435.68344,580.87085,466.74374,545.40686,488.74045,504.62006,503.5047,461.92572,512.9283,420.00153,519.05695,375.25476,517.795,328.76743,201.18256,327.57843,222.25217,305.0242,255.8303,300.91556,288.56985,308.03967,321.55017,319.4268,371.86655,321.2921,402.8586,308.51752,435.36255,301.09436,468.38425,303.22815,493.01727,320.65765,347.4082,344.42,348.998,374.27094,350.53955,404.1358,352.03247,434.78885,318.36917,457.1566,334.9222,459.94598,351.9488,463.77087,368.70972,459.57983,385.3242,454.94537,241.10646,351.1255,258.8427,343.51877,280.50888,342.40875,302.90094,354.19336,279.98013,358.91632,258.27185,359.388,393.13406,353.6687,412.9953,342.59885,435.0334,342.00058,454.16513,348.73346,436.698,357.8597,414.79886,357.93304,285.39127,508.64038,310.2893,501.50626,335.66745,494.6651,353.4103,498.114,370.9733,493.6316,395.11035,498.96378,420.2187,504.36426,397.4778,531.81085,374.08847,544.3851,354.4992,547.18146,334.91415,545.82306,310.4411,536.1408,296.5909,511.482,335.8405,507.21344,353.86035,507.5445,372.0742,506.2837,409.32233,507.38947,372.47162,519.3177,353.89392,522.4672,335.1304,521.065
0.264,182.46637,344.99158,185.48856,392.66562,194.56175,439.56534,206.05255,483.6726,223.95898,526.97614,248.8173,565.1387,279.27936,595.622,315.88998,618.08264,358.17566,621.0823,400.20395,611.91595,434.15063,584.08826,465.6536,550.24554,489.42163,509.67987,505.07614,466.4627,513.6314,423.66794,519.0481,379.35876,517.62836,333.09637,200.86946,327.70108,221.7273,305.0347,255.19537,300.55722,288.10092,307.49036,321.48935,318.55685,370.54202,320.2667,401.55508,307.29535,434.70856,299.61044,468.29868,301.68927,492.62433,321.0462,347.4422,345.22406,348.90363,374.4752,350.2625,403.3622,351.52148,433.4583,316.64545,457.1655,333.88153,460.45633,351.37958,464.3192,368.95117,459.61142,386.27664,454.61435,241.20312,351.69858,258.56027,343.0026,280.5589,342.4101,302.85715,355.05438,279.86392,359.22803,258.11044,359.57336,393.52646,354.30447,412.98648,341.96048,435.3079,341.00958,454.75867,348.37167,437.3139,357.40826,415.49747,358.0468,283.42078,507.78503,309.1247,501.09393,335.07745,494.06113,352.75058,497.6033,369.49936,492.74008,394.60187,498.36398,420.40305,505.1625,396.85452,531.7706,372.87344,544.373,353.8249,547.0056,334.16956,545.93,309.08228,536.1908,294.9551,510.96906,335.11072,506.4839,353.32547,507.03607,370.7032,505.58545,408.9019,507.829,371.1693,520.25574,353.21164,523.2149,334.10458,521.9537
0.297,181.55711,340.48215,185.93195,389.40097,194.45506,435.16183,204.06087,479.96207,221.38707,522.7397,247.44044,560.0707,279.31198,590.5551,316.14093,613.61414,359.24734,617.62744,401.82956,608.3227,435.85114,580.6556,466.42764,546.1166,489.70782,505.52823,505.71313,463.3605,514.3727,421.15823,520.19543,376.0062,519.4173,328.69815,200.75452,326.29337,221.77646,304.29065,254.91994,300.9257,287.3856,307.7447,320.31732,318.5832,372.68912,319.94296,403.26474,307.00092,436.00256,299.60684,468.33987,302.8824,493.2509,320.32056,347.22833,345.86838,348.35358,374.79645,349.13196,403.2763,350.1891,432.7724,316.166,456.87387,333.22302,460.41055,350.72348,464.19104,367.72614,459.52084,384.66675,454.84528,241.74985,350.91507,259.68295,342.79675,281.77075,342.14008,301.9463,354.2377,280.68573,358.64215,258.96417,359.08887,393.58847,354.08878,413.31638,342.58575,435.9464,342.01498,454.51062,349.6173,437.35956,358.35486,415.15137,358.49728,286.36136,507.28735,310.3847,499.9782,335.9457,493.13333,353.05484,496.88046,369.26273,492.13455,393.7387,497.721,417.95013,504.16318,395.73663,529.56305,372.68845,541.9232,354.53278,544.6182,335.84265,543.50305,311.07654,533.8733,297.8546,510.2068,335.96585,505.70795,353.475,506.14963,370.28864,504.70398,406.57507,506.59073,371.20166,516.89526,353.9751,520.2608,335.96487,518.67505
0.33,182.5868,340.7245,184.5799,389.70184,192.57118,436.36282,203.78758,480.84818,222.33836,523.9921,247.94743,562.9584,279.8775,594.249,316.8275,616.204,360.1017,620.0894,402.27982,610.7037,435.84497,584.23175,465.56024,549.4035,487.804,509.38943,502.73035,466.8704,511.6104,423.8082,516.95404,379.4331,514.67126,332.75473,200.30698,323.53162,223.38797,302.83224,256.85022,300.60135,289.0618,308.42828,321.88382,320.2323,371.24265,321.53287,401.91803,308.04636,434.20016,299.7762,467.00195,301.8574,492.23926,319.21707,348.59015,346.61322,349.9809,374.8752,351.21136,402.97452,352.47083,432.297,316.63687,457.45264,334.21027,460.75534,351.7722,464.68472,369.1591,460.17203,386.51923,455.89832,240.20354,351.0495,258.35843,342.98172,280.46982,342.38962,301.76752,354.45987,279.83426,358.79907,258.09225,359.56134,393.6056,354.41693,413.49426,342.65512,436.02426,342.33423,455.14905,349.59833,437.23074,358.2961,415.3329,358.52133,284.8793,509.4681,311.1207,502.59802,337.04227,494.83966,353.7048,498.83554,370.00958,493.32388,393.93152,500.1359,418.5629,506.14273,396.21088,531.88885,373.89294,544.1855,355.2379,546.92834,336.98917,546.0927,311.15497,536.50934,297.43222,512.93634,336.8484,511.477,354.20245,511.77048,371.11002,510.26926,406.56558,509.1108,372.3658,518.0625,354.86646,521.2278,337.10825,519.8898
